filename	acq_time
eeg/sub-0188_ses-preimplant0001_task-task_run-01_eeg.edf	2023-07-12T20:36:02.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-02_eeg.edf	2023-07-12T20:36:02.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-03_eeg.edf	2023-07-12T20:36:04.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-04_eeg.edf	2023-07-12T20:36:04.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-05_eeg.edf	2023-07-12T20:36:04.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-06_eeg.edf	2023-07-12T20:36:05.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-07_eeg.edf	2023-07-12T20:36:05.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-08_eeg.edf	2023-07-12T20:36:06.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-09_eeg.edf	2023-07-12T20:36:07.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-10_eeg.edf	2023-07-12T20:36:07.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-11_eeg.edf	2023-07-12T20:36:09.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-12_eeg.edf	2023-07-12T20:36:09.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-13_eeg.edf	2023-07-12T20:36:10.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-14_eeg.edf	2023-07-12T20:36:11.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-15_eeg.edf	2023-07-12T20:36:11.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-16_eeg.edf	2023-07-12T20:36:12.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-17_eeg.edf	2023-07-12T20:36:13.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-18_eeg.edf	2023-07-12T20:36:14.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-19_eeg.edf	2023-07-12T20:36:15.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-20_eeg.edf	2023-07-12T20:36:16.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-21_eeg.edf	2023-07-12T20:36:16.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-22_eeg.edf	2023-07-12T20:41:10.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-23_eeg.edf	2023-07-12T20:41:11.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-24_eeg.edf	2023-07-12T20:41:11.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-25_eeg.edf	2023-07-12T20:41:12.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-26_eeg.edf	2023-07-12T20:41:13.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-27_eeg.edf	2023-07-12T20:41:13.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-28_eeg.edf	2023-07-12T20:41:16.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-29_eeg.edf	2023-07-12T20:41:17.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-30_eeg.edf	2023-07-12T20:41:17.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-31_eeg.edf	2023-07-12T20:41:17.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-32_eeg.edf	2023-07-12T20:41:18.000000Z
eeg/sub-0188_ses-preimplant0001_task-task_run-33_eeg.edf	2023-07-12T20:41:18.000000Z
